,assetTurnoverTTM,bookValue,cashRatio,currentRatio,ebitPerShare,eps,ev,fcfMargin,fcfPerShareTTM,grossMargin,inventoryTurnoverTTM,longtermDebtTotalAsset,longtermDebtTotalCapital,longtermDebtTotalEquity,netDebtToTotalCapital,netDebtToTotalEquity,netMargin,operatingMargin,payoutRatioTTM,pb,peTTM,pfcfTTM,pretaxMargin,psTTM,ptbv,quickRatio,receivablesTurnoverTTM,roaTTM,roeTTM,roicTTM,rotcTTM,salesPerShare,sgaToSale,tangibleBookValue,totalDebtToEquity,totalDebtToTotalAsset,totalDebtToTotalCapital,totalRatio
1989-06-30,,,,,0.0104,0.0066,,,,0.4944,,,,,,,0.0769,0.1202,,,,,0.1266,,,,,,,,,0.0862,0.5056,,,,,
1989-09-29,,,0.4893854748603352,2.5631,0.0118,0.0111,,,,0.5101,,,,,-0.2469,-0.2564,0.1163,0.1243,,,,,0.1908,,,2.0324,,,,,,0.0951,0.4892,,0.0384,0.0208,0.0369,2.1812
1989-12-29,,,0.46024636058230683,2.6047,0.0131,0.0086,,,,0.5204,,,,,-0.2155,-0.2251,0.0837,0.1273,,,,,0.1373,,,2.1265,,,,,,0.1029,0.4796,,0.0446,0.0242,0.0427,2.1806
1990-03-30,,,0.834625322997416,2.9328,0.014,0.0093,,,,0.5475,,,,,-0.3985,-0.4036,0.0981,0.1478,,,,,0.1605,,,2.5297,,,,,,0.0947,0.4532,,0.0129,0.0072,0.0127,2.2661
1990-06-29,1.9916,,0.7497181510710259,2.637,0.0131,0.0086,,,0.0543,0.5399,,,,,-0.4178,-0.4247,0.0879,0.1333,,,,,0.1436,,,2.3078,,0.1917,0.3546,0.345,0.4764,0.0979,0.4601,,0.0166,0.0087,0.0163,2.0897
1990-09-28,1.9408,,0.36514118792599803,2.3398,0.0103,0.0072,,,0.0573,0.5185,,,,,-0.1605,-0.1742,0.0724,0.1041,,,,,0.1189,,,1.9942,,0.1659,0.3151,0.3033,0.4546,0.0988,0.4815,,0.085,0.0413,0.0783,1.9464
1990-12-28,1.9463,,0.6893656716417911,2.3731,0.0173,0.0114,,,0.054,0.5137,,,,,-0.4566,-0.4634,0.0901,0.136,,,,,0.145,,,1.9916,,0.1698,0.3312,0.3211,0.4807,0.1269,0.4863,,0.0149,0.0073,0.0147,1.9584
1991-03-29,1.9262,,0.8775100401606426,2.8243,0.0137,0.0096,,,0.0284,0.4875,6.2795,,,,-0.4769,-0.4785,0.082,0.117,,,,,0.1327,,,2.2008,7.1486,0.1607,0.3168,0.3082,0.4549,0.1168,0.5125,,0.0033,0.0018,0.0033,2.1281
1991-06-28,1.893,,0.6013986013986014,2.1974,-0.0066,-0.0039,,,-0.0049,0.4578,6.4713,,,,-0.3392,-0.3709,-0.0347,-0.0582,,,,,-0.0562,,,1.6278,7.1673,0.1005,0.2021,0.1929,0.2755,0.1139,0.5415,,0.0936,0.0452,0.0856,1.9312
1991-09-27,1.8658,,0.49630238290879214,2.3533,0.0089,0.006,,,-0.0022,0.4346,6.2465,,,,-0.2375,-0.2575,0.0537,0.0803,,,,,0.0869,,,1.8012,8.2662,0.0917,0.1826,0.174,0.2509,0.111,0.5654,,0.0843,0.0426,0.0778,2.0232
1991-12-27,1.841,,0.4169944925255704,2.417,0.0192,0.0121,,,0.0057,0.4364,6.0761,,,,-0.2458,-0.2517,0.0891,0.1412,,,,,0.1439,,,1.9111,8.3598,0.0921,0.1813,0.1727,0.2561,0.1362,0.5631,,0.0239,0.0123,0.0234,2.0543
1992-03-27,1.808,,0.6131095123900879,2.6035,0.0151,0.0097,,,0.0303,0.4406,6.4537,,,,-0.2839,-0.3023,0.0787,0.1224,,,,,0.127,,,2.1695,7.5614,0.0899,0.1768,0.166,0.2547,0.1235,0.5594,,0.0652,0.0345,0.0612,2.1257
1992-06-26,1.7845,,0.5382916053019146,2.5206,0.0146,0.0096,,,0.0586,0.4431,6.7452,,,,-0.2395,-0.2598,0.0759,0.1155,,,,,0.1218,,,2.1259,7.1161,0.1344,0.2603,0.2445,0.3782,0.1264,0.5569,,0.0849,0.0437,0.0782,2.0605
1992-09-25,1.7683,,0.349929873772791,2.4951,0.0098,0.0072,,,0.0548,0.427,6.3385,,,,-0.1329,-0.144,0.0554,0.0747,,,,,0.0888,,,2.0884,7.9507,0.1325,0.2553,0.2396,0.3637,0.1306,0.573,,0.0841,0.0436,0.0776,2.0747
1992-12-25,1.7219,,0.37971391417425226,2.4077,0.0178,0.0119,,,0.0381,0.4055,6.0362,,,,-0.1589,-0.1721,0.0805,0.1205,,,,,0.13,,,2.0195,7.9188,0.1254,0.2425,0.2246,0.3347,0.1474,0.5945,,0.0837,0.0425,0.0772,2.0321
1993-03-26,1.7289,,0.3816326530612245,2.4864,0.0125,0.0082,,,0.0101,0.3855,6.3754,,,,-0.2136,-0.2192,0.0562,0.0856,,,,,0.0907,,,1.8898,7.1083,0.116,0.2262,0.2115,0.3131,0.1458,0.6145,,0.0262,0.0134,0.0256,2.0467
1993-06-25,1.6938,,0.18741058655221746,1.8693,-0.0237,-0.0145,,,-0.0311,0.3255,6.6629,,,,-0.0365,-0.0421,-0.101,-0.1649,,,,,-0.1633,,,1.2785,6.6519,0.0405,0.083,0.0765,0.0987,0.1437,0.6745,,0.1525,0.0646,0.1323,1.7351
1993-09-24,1.6879,,0.26953748006379585,1.7297,0.0005,0.0002,,,-0.0664,0.2569,6.1746,,,,0.0539,0.076,0.0014,0.0033,,,,,0.0019,,,1.1288,6.931,0.0184,0.0404,0.0348,0.044,0.161,0.7426,,0.4097,0.1605,0.2906,1.6442
1993-12-31,1.7369,,0.4175257731958763,1.8076,0.005,0.0031,,0.2003,-0.0424,0.2398,5.2631,,,,-0.0784,-0.1072,0.0162,0.0263,,,,,0.0263,,,1.2324,6.8443,-0.007,-0.0162,-0.0132,-0.0255,0.1885,0.7602,,0.3663,0.1491,0.2681,1.6869
1994-04-01,1.6873,,0.5004604051565378,2.0359,0.0026,0.0013,,0.013,-0.0415,0.2403,5.0292,,,,-0.1002,-0.138,0.0082,0.0169,,,,,0.0135,,,1.4434,6.4617,-0.0253,-0.0624,-0.047,-0.0734,0.1559,0.7597,,0.3774,0.1506,0.274,1.6638
1994-07-01,1.7141,,0.5957224830464267,2.2222,0.0174,0.0104,,0.1326,-0.0057,0.267,6.1322,,,,-0.1051,-0.1434,0.0642,0.1079,,,,,0.1037,,,1.5978,6.9031,0.0384,0.0939,0.0681,0.1166,0.1615,0.733,,0.3653,0.1601,0.2675,1.7801
1994-09-30,1.771,,0.6188271604938271,2.3025,0.0141,0.0085,,0.1932,0.0431,0.2724,5.8235,,,,-0.2034,-0.2543,0.0461,0.0762,,,,,0.0742,,,1.7428,6.5036,0.0597,0.1411,0.1055,0.1776,0.1852,0.7276,,0.2505,0.1126,0.2003,1.8167
1994-12-30,1.7984,,0.59328165374677,2.4382,0.0208,0.0138,,0.1846,0.0493,0.2874,5.436,,,,-0.2065,-0.2479,0.0664,0.1003,,,,,0.1056,,,1.878,6.9528,0.0862,0.197,0.1523,0.2465,0.2079,0.7126,,0.2002,0.0927,0.1668,1.8623
1995-03-31,1.8405,,0.6130182790905038,2.3009,0.0121,0.0053,,0.0222,0.0539,0.2621,5.2755,,,,-0.1218,-0.1636,0.0275,0.0626,,,,,0.0437,,,1.8622,6.2025,0.0934,0.2076,0.1611,0.2732,0.1931,0.7379,,0.343,0.1539,0.2554,1.8135
1995-06-30,1.8353,,0.5362718089990818,2.3834,0.0117,0.0074,,0.0913,0.0387,0.2827,5.7664,,,,-0.1298,-0.1623,0.04,0.0629,,,,,0.0637,,,1.7557,6.7102,0.0833,0.1827,0.1447,0.2424,0.1854,0.7173,,0.2507,0.116,0.2005,1.8611
1995-09-29,1.8494,,0.3251612903225806,2.2469,0.0052,0.0043,,0.0431,-0.029,0.2068,6.4861,,,,0.0022,0.0028,0.02,0.024,,,,,0.0316,,,1.4834,6.8058,0.0709,0.1541,0.1218,0.1965,0.2149,0.7932,,0.2634,0.1226,0.2085,1.8712
1995-12-29,1.8244,,0.3046210720887246,2.0521,-0.0086,-0.005,,0.1385,-0.0489,0.1509,5.9563,0.0,0.0,0.0,-0.0061,-0.0079,-0.0219,-0.0378,,,,,-0.0346,,,1.3323,7.4572,0.0268,0.0594,0.0463,0.0778,0.2285,0.8491,,0.287,0.1224,0.223,1.7433
1996-03-29,1.8087,,0.21997360316761988,1.8817,-0.0853,-0.0534,,0.1603,-0.0739,-0.1927,5.7311,0.0,0.0,0.0,0.0572,0.0754,-0.3387,-0.541,,,,,-0.5378,,,1.2367,6.2995,-0.1071,-0.2443,-0.1913,-0.3159,0.1578,1.1927,,0.3186,0.1251,0.2416,1.6469
