,assetTurnoverTTM,bookValue,cashRatio,currentRatio,ebitPerShare,eps,ev,fcfMargin,fcfPerShareTTM,grossMargin,inventoryTurnoverTTM,longtermDebtTotalAsset,longtermDebtTotalCapital,longtermDebtTotalEquity,netDebtToTotalCapital,netDebtToTotalEquity,netMargin,operatingMargin,payoutRatioTTM,pb,peTTM,pfcfTTM,pretaxMargin,psTTM,ptbv,quickRatio,receivablesTurnoverTTM,roaTTM,roeTTM,roicTTM,rotcTTM,salesPerShare,sgaToSale,tangibleBookValue,totalDebtToEquity,totalDebtToTotalAsset,totalDebtToTotalCapital,totalRatio
1990-03-31,,,0.09796253484000605,0.4363,1.0761,0.55,,,,0.1326,,0.5107,0.757,,0.7404,,0.0214,0.0419,,,,,0.0391,,,0.2756,,,,,,25.6935,0.8674,,,0.5276,0.7821,1.1723
1990-06-30,,,0.14056454170631144,0.4819,1.5266,0.8371,,,,0.1367,,0.5227,0.7672,,0.7303,,0.0287,0.0524,,,,,0.0508,,,0.3289,,,,,,29.1357,0.8633,,,0.537,0.7881,1.1687
1990-09-30,,,0.11750189825360668,0.4787,0.1922,0.1102,,,,0.1139,,0.5242,0.766,,0.7417,,0.0044,0.0077,,,,,0.0076,,,0.3152,,,,,,24.824,0.8861,,,0.5403,0.7894,1.1684
1990-12-31,0.579,,0.162096136804541,0.482,-1.1362,-0.5654,,,,0.07,,0.5336,0.7751,,0.7423,,-0.0215,-0.0431,,,,,-0.04,,,0.3116,,0.0051,,,,26.3519,0.93,,,0.55,0.7989,1.1607
1991-03-31,0.5601,,0.16078068912150978,0.4263,-1.1103,-0.9374,,,0.2485,0.0694,12.198,0.5324,0.778,,0.7414,,-0.0414,-0.0491,,,,,-0.0542,,,0.2835,20.7447,-0.0031,,,,22.631,0.9306,,,0.552,0.8066,1.1526
1991-06-30,0.5444,,0.1447619847552653,0.4106,-0.2125,-0.3425,,,0.6554,0.0993,13.1128,0.5309,0.7866,,0.7486,,-0.0136,-0.0084,,,,,-0.0123,,,0.2928,19.2831,-0.0096,,,,25.2082,0.9007,,,0.5467,0.8099,1.1472
1991-09-30,0.5331,,0.1327024229493652,0.414,-0.4549,-0.6017,,,1.3551,0.0969,11.8209,0.5434,0.8017,,0.7626,,-0.0272,-0.0206,,,,,-0.0231,,,0.2814,20.4211,-0.0136,,,,22.1352,0.9031,,,0.5536,0.8168,1.1418
1991-12-31,0.5195,,0.19498453645321379,0.4844,-0.676,-0.4943,,,1.4636,0.1023,12.0245,0.5437,0.7844,,0.7384,,-0.0217,-0.0296,,,,,-0.0295,,,0.3354,25.1961,-0.0133,,,,22.8266,0.8977,,,0.5585,0.8057,1.1556
1992-03-31,0.5332,,0.21926026270591936,0.5171,0.6863,-6.8731,,,2.4788,0.135,12.7406,0.5404,0.7915,,0.7293,,-0.2712,0.0271,,,,,0.0206,,,0.3682,28.8744,-0.0468,,,,25.3426,0.865,,,0.5499,0.8055,1.1531
1992-06-30,0.5409,,0.17939231925913549,0.5364,1.0689,0.3981,,,6.0855,0.1429,14.3866,0.5277,0.7866,,0.7347,,0.0144,0.0387,,,,,0.0367,,,0.3946,27.6839,-0.0419,,,,27.6163,0.8571,,,0.5349,0.7973,1.1574
1992-09-30,0.549,,0.15790760205328772,0.5178,-0.4713,-0.2793,,,7.6944,0.1032,13.3295,0.5367,0.7887,,0.746,,-0.0117,-0.0197,,,,,-0.0183,,,0.3598,26.8295,-0.0399,,,,23.9476,0.8968,,,0.5441,0.7997,1.1578
1992-12-31,0.5635,,0.1746375865221366,0.4751,-1.2078,-0.8598,,,5.8176,0.0697,15.2244,0.5387,0.8506,,0.803,,-0.0331,-0.0464,,,,,-0.047,,,0.3327,32.4735,-0.0416,,,,26.0051,0.9303,,,0.5456,0.8615,1.0961
1993-03-31,0.5662,,0.21036771976081736,0.4981,1.1918,0.5837,,,5.9438,0.1516,15.0145,0.5351,0.832,,0.7879,,0.0214,0.0436,,,,,0.0398,,,0.3599,31.7771,-0.0008,,,,27.3092,0.8484,,,0.5547,0.8624,1.0971
