,assetTurnoverTTM,bookValue,cashRatio,currentRatio,ebitPerShare,eps,ev,fcfMargin,fcfPerShareTTM,grossMargin,inventoryTurnoverTTM,longtermDebtTotalAsset,longtermDebtTotalCapital,longtermDebtTotalEquity,netDebtToTotalCapital,netDebtToTotalEquity,netMargin,operatingMargin,payoutRatioTTM,pb,peTTM,pfcfTTM,pretaxMargin,psTTM,ptbv,quickRatio,receivablesTurnoverTTM,roaTTM,roeTTM,roicTTM,rotcTTM,salesPerShare,sgaToSale,tangibleBookValue,totalDebtToEquity,totalDebtToTotalAsset,totalDebtToTotalCapital,totalRatio
1988-09-30,,,,,0.0062,0.0046,,,,0.7232,,,,,,,0.209,0.2825,,,,,0.3051,,,,,,,,,0.0219,0.2768,,,,,
1988-12-31,,,,,0.0081,0.0058,,,,0.7238,,,,,,,0.2238,0.3095,,,,,0.3286,,,,,,,,,0.0261,0.2762,,,,,
1989-03-31,,,,,0.0068,0.005,,,,0.731,,,,,,,0.2081,0.2792,,,,,0.3046,,,,,,,,,0.0242,0.269,,,,,
1989-06-30,,,1.8930817610062893,2.9497,0.0075,0.0056,,,,0.7955,,,,,-0.4702,-0.4911,0.2091,0.2818,,,,,0.3091,,,2.7107,,,,,,0.0267,0.2,,0.0445,0.0347,0.0426,4.5346
1989-09-30,,,1.8162162162162163,2.8486,0.0083,0.0061,,0.55,,0.783,,,,,-0.4739,-0.4944,0.2128,0.2894,,,,,0.3106,,,2.6541,,,,,,0.0285,0.217,,0.0432,0.0334,0.0414,4.373
1989-12-31,,,2.0,3.2263,0.0124,0.0088,,0.0766,,0.7833,,,,,-0.4987,-0.5055,0.25,0.3533,,,,,0.3667,,,3.0105,,,,,,0.0351,0.22,,0.0137,0.0108,0.0135,4.8526
1990-03-31,1.2299,,2.365079365079365,3.5926,0.012,0.0086,,0.12,0.0284,0.7878,,,,,-0.5282,-0.5327,0.2412,0.3376,,,,,0.3569,,,3.328,,0.2838,0.3585,0.3497,0.4847,0.0357,0.2122,,0.0085,0.0069,0.0084,5.3704
1990-06-30,1.2288,,2.4010695187165774,3.8503,0.0114,0.009,,0.1768,0.0127,0.7923,,,,,-0.4773,-0.481,0.2374,0.2997,,,,,0.3501,,,3.5508,8.1027,0.2908,0.3611,0.3552,0.4821,0.0379,0.2077,,0.0076,0.0063,0.0076,5.9091
1990-09-30,1.2407,,2.323943661971831,3.6197,0.0137,0.0099,,0.1626,0.0178,0.794,,,,,-0.485,-0.4899,0.2385,0.3306,,,,,0.3442,,,3.3474,8.5519,0.2996,0.3669,0.3633,0.4959,0.0416,0.206,,0.0101,0.0083,0.01,5.6526
1990-12-31,1.2606,,2.1774193548387095,3.5363,0.0177,0.0127,,0.0651,0.017,0.7961,,,,,-0.4591,-0.4665,0.2451,0.3427,,,,,0.3557,,,3.2823,7.5216,0.3036,0.3695,0.3655,0.499,0.0518,0.2039,,0.0161,0.0132,0.0158,5.5081
1991-03-31,1.278,,2.391304347826087,3.6719,0.0191,0.0136,,0.1458,0.0187,0.8029,,,,,-0.4595,-0.4672,0.2546,0.3573,,,,,0.3696,,,3.4625,8.8449,0.3129,0.3787,0.3738,0.5122,0.0536,0.1971,,0.0168,0.014,0.0165,5.9368
1991-06-30,1.2904,,2.3412969283276452,3.5119,0.0198,0.0151,,0.2524,0.0352,0.814,,,,,-0.4858,-0.493,0.2619,0.3435,,,,,0.3814,,,3.3515,8.6981,0.324,0.3932,0.3875,0.5315,0.0575,0.1841,,0.0148,0.0122,0.0146,5.6109
1991-09-30,1.2886,,2.726984126984127,3.8127,0.022,0.0156,,0.21,0.0424,0.8193,,,,,-0.5333,-0.5398,0.2478,0.3494,,,,,0.3649,,,3.6286,9.8846,0.3253,0.3935,0.3877,0.5349,0.0629,0.1807,,0.0122,0.0102,0.0121,5.9365
