,assetTurnoverTTM,bookValue,cashRatio,currentRatio,ebitPerShare,eps,ev,fcfMargin,fcfPerShareTTM,grossMargin,inventoryTurnoverTTM,longtermDebtTotalAsset,longtermDebtTotalCapital,longtermDebtTotalEquity,netDebtToTotalCapital,netDebtToTotalEquity,netMargin,operatingMargin,payoutRatioTTM,pb,peTTM,pfcfTTM,pretaxMargin,psTTM,ptbv,quickRatio,receivablesTurnoverTTM,roaTTM,roeTTM,roicTTM,rotcTTM,salesPerShare,sgaToSale,tangibleBookValue,totalDebtToEquity,totalDebtToTotalAsset,totalDebtToTotalCapital,totalRatio
2009-03-31,,,,,-0.1673,-0.1636,,,,0.6667,,,,,,,-1.6296,-1.6667,,,,,-1.6296,,,,,,,,,0.1004,0.3333,,,,,
2009-06-30,,,,,-0.1152,-0.1152,,,,0.7778,,,,,,,-0.6889,-0.6889,,,,,-0.6889,,,,,,,,,0.1673,0.2222,,,,,
2009-09-30,,,,,-0.0892,-0.0892,,,,0.8182,,,,,,,-0.4364,-0.4364,,,,,-0.4364,,,,,,,,,0.2045,0.1818,,,,,
2009-12-31,,,,,-0.1115,-0.1078,,,,0.7872,,,,,,,-0.617,-0.6383,,,,,-0.617,,,,,,,,,0.1747,0.2128,,,,,
2010-03-31,,,,,-0.1041,-0.1041,,,,0.7925,,,,,,,-0.5283,-0.5283,,,,,-0.5283,,,,,,,,,0.197,0.2264,,,,,
2010-06-30,,,,,-0.0743,-0.0743,,,,0.8356,,,,,,,-0.274,-0.274,,,,,-0.274,,,,,,,,,0.2714,0.1644,,,,,
2010-09-30,,,,,-0.0558,-0.0558,,,,0.8537,,,,,,,-0.1829,-0.1829,,,,,-0.1829,,,,,,,,,0.3048,0.1585,,,,,
2010-12-31,,,1.9838709677419355,2.9355,-0.0186,-0.0186,,,,0.8542,,,,,-0.7069,-0.7069,-0.0521,-0.0521,,,,,-0.0521,,,2.871,,,,,,0.3569,0.1354,,0.0,0.0,0.0,3.6364
2011-03-31,,,1.15625,2.0833,-0.0677,-0.0602,,,,0.8319,,,,,-0.5936,-0.5936,-0.0708,-0.0796,,,,,-0.0708,,,2.0104,,,,,,0.8496,0.1593,,0.0,0.0,0.0,2.8889
2011-06-30,,,1.3064516129032258,1.7823,0.0595,0.0595,,,,0.8291,,,,,-0.7678,-0.7678,0.1013,0.1013,,,,,0.1013,,,1.7258,,,,,,0.5874,0.1709,,0.0,0.0,0.0,2.6484
2011-09-30,1.1138,97.6,6.302631578947368,6.7632,-0.0223,-0.0223,657.904,,0.2101,0.8377,,,,,-0.9806,-0.9806,-0.0314,-0.0314,,7.7224,,,-0.0314,,7.8593,6.7105,,-0.006,-0.0077,-0.0077,-0.0103,0.71,0.1623,95.9,0.0,0.0,0.0,6.9877
2011-12-31,0.9021,101.2,3.4214285714285713,6.1214,0.0407,0.0407,600.581,,0.2135,0.8492,,,,,-0.4733,-0.4733,0.0452,0.0452,,6.4079,,,0.0452,,6.7061,5.8929,13.7708,0.015,0.0184,0.0184,0.0168,0.9005,0.1508,96.7,0.0,0.0,0.0,7.529
2012-03-31,0.8004,107.7,3.9064748201438846,6.5755,0.0548,0.0548,1002.1,,0.2578,0.8553,,,,,-0.5046,-0.5046,0.0746,0.0746,,9.8087,,,0.0746,,10.2166,6.4173,15.8367,0.0371,0.044,0.044,0.044,0.7355,0.1491,103.4,0.0,0.0,0.0,7.9038
2012-06-30,0.7328,112.8,1.2835820895522387,3.9303,0.0415,0.0415,1086.69,,0.387,0.8813,,,,,-0.2287,-0.2287,0.0468,0.0468,,9.8625,,,0.0468,12.4162,10.7904,3.8507,13.6794,0.027,0.0315,0.0315,0.0315,0.8882,0.1187,103.1,0.0,0.0,0.0,6.0357
2012-09-30,0.6081,276.2,9.787564766839377,12.4715,0.0714,0.0714,1167.7,,0.3234,0.8871,,,,,-0.6839,-0.6839,0.0721,0.0721,,4.9117,,,0.0721,13.248,5.079,12.3057,13.932,0.0368,0.0415,0.0415,0.0415,0.9907,0.1129,267.1,0.0,0.0,0.0,13.4414
2012-12-31,0.5405,280.3,7.246376811594203,9.9227,0.0138,0.0138,777.769,,0.4572,0.8892,,,,,-0.5351,-0.5351,0.0146,0.0146,,3.3099,,,0.0146,7.9432,3.5807,9.7923,16.5674,0.0268,0.0299,0.0299,0.0299,0.9449,0.1108,259.1,0.0,0.0,0.0,11.3051
